Model,MSE,RMSE,R^2,SSIM,CI
LSTM,0.09441414475440979,0.30726884767969853,0.7154549956321716,0.8198321461677551,0.9216348528862
BOSTICK,0.23981735238092608,0.46368036106345845,0.26001066001561773,0.5883789028397577,
